neuron_name,in_synapse_count,out_synapse_count,product_of_synapses,sum_of_synapses
RMGR,12,1,12,13
ALNR,1,6,6,7
FLPL,5,81,405,86
AVDR,47,93,4371,140
FLPR,4,33,132,37
AVER,49,47,2303,96
AVJR,13,9,117,22
RIAR,111,2,222,113
URXR,28,2,56,30
SMDVR,2,1,2,3
ADAR,11,8,88,19
ADAL,8,10,80,18
SIADR,6,1,6,7
AVEL,44,20,880,64
AVDL,66,74,4884,140
SMBDR,8,1,8,9
RIAL,121,2,242,123
RMGL,15,3,45,18
SAADR,1,27,27,28
AVHL,4,1,4,5
RMHL,19,1,19,20
AIBL,108,5,540,113
RIBL,68,5,340,73
URXL,6,1,6,7
AIBR,127,2,254,129
PVPR,2,6,12,8
URYVR,5,2,10,7
AVBR,15,24,360,39
AVBL,31,23,713,54
RICR,61,28,1708,89
RICL,58,33,1914,91
PVCL,7,12,84,19
AVJL,5,1,5,6
OLQVL,23,1,23,24
AVHR,4,1,4,5
RIML,4,7,28,11
SAAVL,2,56,112,58
AIMR,6,1,6,7
RIBR,54,6,324,60
DVA,10,8,80,18
AQR,3,10,30,13
IL2VR,3,1,3,4
BDUR,5,7,35,12
RMDVR,11,1,11,12
PVCR,1,15,15,16
